iter	Passed	Remaining
0	2	2893
1	5	2779
2	8	2684
3	10	2719
4	13	2688
5	16	2713
6	19	2703
7	22	2730
8	24	2716
9	27	2718
10	30	2714
11	32	2701
12	35	2715
13	38	2705
14	40	2690
15	43	2688
16	46	2674
17	48	2665
18	51	2664
19	54	2659
20	56	2655
21	59	2664
22	62	2662
23	65	2667
24	68	2678
25	71	2669
26	74	2668
27	76	2656
28	78	2643
29	81	2630
30	83	2618
31	86	2603
32	88	2597
33	91	2587
34	93	2577
35	95	2570
36	98	2566
37	101	2560
38	103	2554
39	106	2546
40	108	2541
41	110	2531
42	113	2529
43	116	2522
44	118	2513
45	120	2505
46	123	2499
47	125	2490
48	127	2468
49	129	2462
50	131	2455
51	134	2450
52	137	2448
53	139	2443
54	142	2441
55	144	2437
56	147	2434
57	149	2430
58	152	2428
59	154	2427
60	157	2420
61	159	2418
62	162	2415
63	164	2409
64	167	2409
65	169	2404
66	172	2398
67	174	2398
68	177	2396
69	180	2393
70	182	2391
71	185	2385
72	187	2380
73	190	2378
74	192	2376
75	195	2375
76	197	2373
77	200	2369
78	202	2365
79	205	2361
80	207	2358
81	210	2354
82	212	2351
83	215	2347
84	217	2343
85	220	2339
86	222	2338
87	225	2335
88	227	2332
89	230	2330
90	232	2327
91	235	2322
92	237	2319
93	240	2317
94	242	2313
95	245	2311
96	247	2307
97	250	2303
98	252	2302
99	255	2299
100	257	2296
101	260	2293
102	262	2289
103	265	2286
104	269	2293
105	271	2291
106	274	2289
107	276	2284
108	278	2280
109	281	2276
110	284	2274
111	286	2272
112	289	2269
113	291	2268
114	294	2264
115	296	2260
116	299	2257
117	301	2253
118	303	2249
119	306	2246
120	308	2242
121	311	2238
122	313	2235
123	315	2231
124	318	2228
125	320	2223
126	323	2220
127	325	2220
128	328	2218
129	331	2217
130	333	2214
131	336	2211
132	338	2208
133	341	2205
134	343	2202
135	346	2199
136	348	2195
137	351	2194
138	353	2191
139	356	2188
140	358	2185
141	361	2183
142	364	2182
143	366	2178
144	369	2176
145	371	2174
146	374	2170
147	376	2167
148	379	2166
149	381	2164
150	401	2255
151	403	2252
152	406	2248
153	408	2244
154	410	2240
155	413	2236
156	415	2232
157	418	2229
158	420	2225
159	423	2221
160	425	2218
161	428	2214
162	430	2210
163	433	2207
164	435	2204
165	438	2201
166	440	2198
167	444	2202
168	447	2202
169	450	2199
170	453	2196
171	456	2195
172	458	2192
173	460	2188
174	463	2184
175	465	2179
176	467	2175
177	470	2171
178	472	2168
179	475	2164
180	477	2161
181	480	2157
182	482	2154
183	484	2150
184	487	2146
185	489	2142
186	491	2138
187	494	2136
188	497	2132
189	499	2129
190	502	2127
191	504	2123
192	507	2120
193	509	2117
194	511	2113
195	514	2109
196	516	2106
197	519	2102
198	521	2099
199	523	2095
200	526	2094
201	529	2092
202	545	2143
203	548	2141
204	551	2138
205	553	2134
206	556	2130
207	558	2127
208	561	2123
209	563	2119
210	566	2116
211	568	2113
212	570	2109
213	573	2105
214	575	2102
215	578	2098
216	580	2095
217	583	2092
218	585	2088
219	588	2085
220	590	2081
221	592	2078
222	595	2075
223	597	2071
224	600	2068
225	602	2064
226	605	2061
227	607	2058
228	610	2054
229	612	2051
230	615	2048
231	617	2044
232	620	2041
233	622	2037
234	624	2034
235	627	2031
236	629	2027
237	632	2023
238	634	2021
239	637	2018
240	639	2014
241	642	2012
242	645	2009
243	647	2005
244	649	2002
245	652	1998
246	654	1995
247	656	1991
248	659	1988
249	661	1985
250	664	1982
251	666	1979
252	669	1975
253	671	1972
254	674	1969
255	676	1966
256	678	1962
257	681	1959
258	683	1956
259	686	1952
260	688	1949
261	691	1946
262	693	1943
263	695	1939
264	698	1936
265	700	1933
266	703	1931
267	706	1929
268	708	1926
269	711	1923
270	713	1920
271	716	1917
272	718	1914
273	721	1911
274	724	1909
275	726	1906
276	729	1903
277	731	1900
278	733	1896
279	736	1893
280	738	1890
281	741	1886
282	743	1883
283	745	1880
284	748	1877
285	750	1874
286	753	1871
287	755	1868
288	757	1864
289	760	1861
290	762	1858
291	765	1855
292	767	1853
293	770	1851
294	773	1848
295	776	1845
296	778	1843
297	781	1840
298	783	1837
299	786	1834
300	788	1831
301	791	1828
302	793	1826
303	796	1823
304	799	1820
305	801	1818
306	804	1815
307	806	1812
308	809	1809
309	811	1806
310	814	1803
311	816	1800
312	818	1797
313	821	1794
314	823	1791
315	826	1788
316	828	1785
317	831	1782
318	833	1779
319	836	1776
320	838	1773
321	840	1770
322	843	1767
323	845	1764
324	847	1761
325	850	1758
326	852	1755
327	855	1752
328	857	1749
329	860	1746
330	862	1743
331	865	1740
332	867	1737
333	870	1735
334	872	1732
335	875	1729
336	877	1727
337	880	1724
338	882	1721
339	885	1718
340	887	1715
341	889	1712
342	892	1709
343	895	1707
344	897	1704
345	900	1701
346	902	1698
347	904	1695
348	907	1692
349	910	1690
350	912	1687
351	915	1684
352	917	1681
353	919	1678
354	922	1676
355	925	1673
356	928	1671
357	930	1668
358	933	1666
359	935	1663
360	938	1661
361	941	1658
362	943	1655
363	946	1653
364	948	1650
365	951	1648
366	954	1645
367	956	1642
368	959	1640
369	961	1637
370	964	1635
371	967	1632
372	969	1629
373	972	1627
374	974	1624
375	977	1621
376	979	1618
377	982	1616
378	984	1613
379	987	1610
380	989	1607
381	992	1604
382	994	1602
383	996	1599
384	999	1596
385	1001	1593
386	1004	1590
387	1006	1588
388	1009	1585
389	1011	1582
390	1014	1580
391	1017	1577
392	1019	1574
393	1022	1572
394	1024	1569
395	1027	1566
396	1029	1564
397	1032	1561
398	1034	1558
399	1037	1555
400	1040	1553
401	1042	1551
402	1045	1548
403	1048	1546
404	1050	1543
405	1053	1541
406	1056	1539
407	1059	1537
408	1062	1535
409	1065	1533
410	1068	1531
411	1071	1529
412	1074	1526
413	1077	1525
414	1080	1522
415	1082	1520
416	1085	1517
417	1088	1515
418	1090	1512
419	1093	1510
420	1096	1508
421	1099	1505
422	1102	1503
423	1105	1501
424	1107	1499
425	1110	1496
426	1113	1494
427	1116	1491
428	1119	1489
429	1121	1487
430	1124	1485
431	1127	1482
432	1130	1480
433	1133	1478
434	1136	1475
435	1138	1473
436	1141	1470
437	1144	1468
438	1146	1465
439	1149	1463
440	1152	1460
441	1154	1457
442	1157	1455
443	1160	1452
444	1162	1450
445	1165	1447
446	1167	1444
447	1170	1441
448	1172	1439
449	1175	1437
450	1178	1434
451	1181	1432
452	1184	1429
453	1186	1427
454	1189	1424
455	1192	1422
456	1194	1419
457	1197	1417
458	1200	1414
459	1202	1412
460	1205	1409
461	1208	1407
462	1211	1404
463	1213	1402
464	1216	1399
465	1219	1397
466	1221	1394
467	1224	1392
468	1227	1390
469	1230	1387
470	1233	1385
471	1236	1383
472	1238	1380
473	1241	1377
474	1244	1375
475	1247	1373
476	1250	1370
477	1252	1368
478	1255	1365
479	1258	1363
480	1261	1360
481	1264	1358
482	1267	1356
483	1269	1353
484	1272	1351
485	1275	1348
486	1277	1346
487	1280	1343
488	1283	1340
489	1285	1338
490	1288	1335
491	1291	1333
492	1294	1330
493	1296	1328
494	1299	1325
495	1301	1322
496	1304	1320
497	1307	1317
498	1309	1315
499	1312	1312
500	1315	1310
501	1318	1308
502	1321	1305
503	1323	1302
504	1326	1300
505	1329	1297
506	1331	1294
507	1334	1292
508	1336	1289
509	1339	1287
510	1342	1284
511	1344	1281
512	1347	1279
513	1350	1276
514	1353	1274
515	1355	1271
516	1358	1268
517	1361	1266
518	1364	1264
519	1366	1261
520	1369	1258
521	1371	1256
