Tectonic regime,Onshore/Offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Period,Lithology,Gross,Netpay,Porosity,Permeability
COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,15250.0,PALEOGENE,SANDSTONE,8000.0,575.0,5.0,0.1
COMPRESSION/EVAPORITE/EXTENSION/INVERSION,OFFSHORE,GAS-CONDENSATE,PLATEAU PRODUCTION,RIFT/SALT,16360.0,JURASSIC,SANDSTONE,980.0,490.0,16.0,10.0
COMPRESSION/EROSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,4700.0,PERMIAN,DOLOMITE,65.0,21.0,8.0,0.5
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION,OFFSHORE,OIL,DEVELOPING,FORELAND/RIFT/SALT,8105.345849143011,CRETACEOUS,SANDSTONE,116.03725431133049,41.59577586358536,14.984042241364147,29.92021120682073
COMPRESSION/EROSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,7600.0,CRETACEOUS,SANDSTONE,158.0,15.0,9.5,10.0
COMPRESSION,ONSHORE,OIL,PLATEAU PRODUCTION,THRUST,4199.0,NEOGENE,SANDSTONE,3281.0,81.0,19.0,102.0
EXTENSION,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,3686.0,NEOGENE,SANDSTONE,790.0,88.0,33.0,1500.0
COMPRESSION/EXTENSION/INVERSION,ONSHORE,OIL,DECLINING PRODUCTION,INVERSION/RIFT,1030.0,CRETACEOUS,SANDSTONE,260.0,33.0,24.0,182.0
EVAPORITE/EXTENSION/GRAVITY,ONSHORE,OIL,DECLINING PRODUCTION,PASSIVE,1788.0,CRETACEOUS,CONGLOMERATE,380.0,350.0,15.0,60.0
EXTENSION,OFFSHORE,OIL,PLATEAU PRODUCTION,PASSIVE/RIFT,7306.0,CRETACEOUS,SANDSTONE,115.0,98.0,18.0,500.0
COMPRESSION/EROSION/EXTENSION/INVERSION/SHALE,OFFSHORE,OIL,PLATEAU PRODUCTION,BACKARC/RIFT,5691.396326052421,JURASSIC,SANDSTONE,239.58776269685364,206.04122373031464,28.0,1456.3208213334813
COMPRESSION/EVAPORITE,ONSHORE,OIL,CONTINUING DEVELOPMENT,FORELAND,10703.0,CRETACEOUS,CHALKY LIMESTONE,820.0,928.0,9.0,0.2
COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2950.0,PERMIAN,DOLOMITE,400.0,100.0,9.0,5.0
COMPRESSION/EROSION,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,14500.0,CARBONIFEROUS,CONGLOMERATE,46.0,23.0,13.0,0.4
EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,RIFT,2116.0,CRETACEOUS,CONGLOMERATE,1476.0,180.0,15.0,30.0
COMPRESSION/EROSION,ONSHORE,GAS,DEVELOPING,FORELAND,9800.0,ORDOVICIAN,DOLOMITE,150.0,47.0,5.6,3.0
BASEMENT-I/EVAPORITE/EXTENSION/GRAVITY/INVERSION/STRIKE-SLIP/SYNSEDIMENTATION/TRANSPRESSION,OFFSHORE,OIL,PLATEAU PRODUCTION,BACKARC/INVERSION/PASSIVE,3058.6020007961865,CRETACEOUS,SANDSTONE,441.35405512998176,147.0603787441938,23.792497323119562,500.17291889740034
EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,5900.0,DEVONIAN,DOLOMITE,730.0,130.0,5.0,0.3
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION/RIFT/SALT,9422.508690582454,CRETACEOUS-PALEOGENE,CHALK,807.2215784753737,526.1078923768687,24.971868161455557,0.9249710313918184
EXTENSION/INVERSION,ONSHORE,OIL,UNKNOWN,RIFT,5193.0,CRETACEOUS-PALEOGENE,LIMESTONE,860.0,210.0,20.0,20.0
COMPRESSION,ONSHORE,GAS,UNKNOWN,INTRACRATONIC,984.0,CRETACEOUS,SILTSTONE,250.0,20.0,14.0,1.0
BASEMENT-I/EXTENSION/INVERSION/STRIKE-SLIP/TRANSPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,BACKARC/INVERSION,2650.0,NEOGENE,LIMESTONE,164.0,54.0,17.0,2000.0
